date,close_price,miners_revenue,difficulty,hash_rate,median_confirmation_time,avg_block_size,n_unique_addresses,n_transactions_per_block,n_transactions,cost_per_transaction_percent
2023-12-09,44184.18,49983455.1733174,67957790298898.0,530377412.4331516,8.35,1.7251319808917192,739198.0,3741.388535031847,587398.0,1.5938497480379286
2023-12-10,43709.41,44686549.54716012,67436283581404.43,469318617.5512489,10.716666666666665,1.7631495714285716,664453.0,3829.8214285714284,536175.0,1.8487105420141643
2023-12-11,43787.81,47227552.40644524,67305906902031.14,528635575.20314026,8.8,1.7876318164556964,690909.0,3325.8607594936707,525486.0,0.5827000381601436
2023-12-12,41238.31,42108188.76068561,67305906902031.055,481794448.2864064,10.425,1.6236592847222229,688671.0,3771.9583333333335,543162.0,0.6006753729993946
2023-12-13,41458.49,47685314.57453177,67305906902031.086,498523422.18524003,8.033333333333333,1.5409254161073833,617899.0,3945.771812080537,587920.0,1.2563717737510955
2023-12-14,42887.09,53487706.78018544,67305906902031.07,488486037.84593976,7.066666666666666,1.5073960068493146,573978.0,3910.8561643835615,570985.0,1.2353853471919936
2023-12-15,43023.24,61874809.91705933,67305906902031.164,545364549.1019738,7.666666666666667,1.637462042944785,706714.0,3881.20245398773,632636.0,1.1670484362903624
2023-12-16,41934.71,63958242.19172744,67305906902031.1,508560806.52454,8.3,1.6690960921052622,636391.0,4198.315789473684,638144.0,1.8002093722950423
2023-12-17,42236.81,64128658.064254284,67305906902031.09,501869216.9650066,8.808333333333334,1.6647040599999998,570690.0,4112.053333333333,616808.0,2.8023471460581026
2023-12-18,41341.9,59706278.14765298,67305906902031.19,562093523.0008074,6.608333333333333,1.6657721190476187,715198.0,3815.095238095238,640936.0,1.390813871706264
2023-12-19,41264.8,62467181.336199895,67305906902031.164,542018754.3222071,6.725,1.6932824012345673,684666.0,4091.8518518518517,662880.0,1.1863395327374162
2023-12-20,42262.62,57630882.3453147,67305906902031.06,485140243.06617314,9.066666666666666,1.6639667448275859,659068.0,4017.2827586206895,582506.0,0.8015281132801639
2023-12-21,43639.9,59081092.58587713,67305906902031.07,488486037.84593976,9.275,1.7028045616438365,699086.0,4028.3356164383563,588137.0,1.3712284819586014
2023-12-22,43870.89,60254531.70180586,67305906902031.19,562093523.0008074,9.375,1.7013262500000004,772558.0,3723.3988095238096,625531.0,1.0403793796567262
2023-12-23,43996.78,53244333.618783,70449192118839.66,560327733.6667341,9.025,1.7698813437500003,683793.0,3802.99375,608479.0,2.215103687201184
2023-12-24,43742.33,56344289.0489318,72006146478567.25,612085087.5512694,6.383333333333334,1.7910904444444442,731313.0,4230.754385964912,723459.0,2.3172855374044525
2023-12-25,43013.46,45016232.312319785,72006146478567.08,497542848.9451839,9.6,1.8437250647482017,572121.0,3854.251798561151,535741.0,1.653963976373673
2023-12-26,43599.61,44429205.61532214,72006146478567.08,497542848.9451839,9.8,1.765703942446043,582914.0,3983.4028776978416,553693.0,0.7819378172819663
2023-12-27,42514.79,46783050.714829125,72006146478567.0,461748399.3807821,9.45,1.6756227054263566,647166.0,4229.116279069767,545556.0,0.6777355137616096
2023-12-28,43470.76,42422981.18148732,72006146478567.0,433112839.72926086,11.783333333333333,1.6997615454545456,593042.0,3447.7685950413224,417180.0,0.8510508147047311
2023-12-29,42609.23,49093691.46371118,72006146478567.16,540496188.4224659,10.066666666666666,1.6811392516556285,703116.0,3850.655629139073,581449.0,0.6517642658561901
2023-12-30,42086.22,49356320.35824165,72006146478567.12,519019518.6838249,9.616666666666667,1.6254269241379316,599027.0,3681.537931034483,533823.0,1.192006031031387
2023-12-31,42148.38,56442917.34532426,72006146478567.17,558393413.2046669,7.833333333333333,1.6993242948717966,690255.0,4688.147435897436,731351.0,0.9772436572986782
2024-01-01,42249.69,50875146.64536134,72006146478567.17,554813968.2482265,14.283333333333333,1.6536402903225809,624628.0,4243.561290322581,657752.0,1.6264401892742202
2024-01-02,44176.26,43517765.64175245,72006146478567.02,468907289.29366255,10.383333333333333,1.7184554809160302,550846.0,2803.961832061069,367319.0,0.6605803487001963
2024-01-03,44958.98,49942736.51560193,72006146478567.19,565552303.117547,9.108333333333334,1.7714657531645563,677059.0,3181.9556962025317,502749.0,0.8597042345814563
2024-01-04,42854.95,51742209.323741384,72006146478567.25,608505642.5948291,8.283333333333333,1.782401741176469,675009.0,2838.570588235294,482557.0,0.7655769549156135
2024-01-05,44190.1,42917989.38384478,72006146478567.08,493963403.98874366,8.333333333333334,1.7745511666666665,645934.0,3049.8840579710145,420884.0,0.7799652114144145
2024-01-06,44181.1,42219253.582897715,73146570446681.67,509059003.5142141,8.45,1.8479592000000018,572161.0,2729.5714285714284,382140.0,1.2014385149837925
2024-01-07,43975.63,35888603.51598232,73197634206448.0,429363547.6531167,10.991666666666667,1.776827237288136,510040.0,2954.9830508474574,348688.0,1.3961547616086485
2024-01-08,43928.07,40680377.09676569,73197634206448.0,447556918.3163843,12.333333333333334,1.6502389268292694,534011.0,3368.7723577235774,414359.0,0.7577918571508573
2024-01-09,46972.42,49538486.491604716,73197634206448.0,553078468.1633366,9.025,1.7541163026315794,618468.0,3079.5263157894738,468088.0,0.6773956293117434
2024-01-10,46143.31,41930208.961562425,73197634206448.0,483943659.64291966,8.833333333333334,1.7924143308270677,605995.0,2885.5187969924814,383774.0,0.48925343065545013
2024-01-11,46649.42,55090803.641925655,73197634206448.0,629490624.9490609,4.916666666666667,1.5768140982658962,664879.0,2595.809248554913,449075.0,0.5327163697602155
2024-01-12,46355.63,53989678.34155952,73197634206448.0,611297254.2857933,6.708333333333334,1.649432642857142,596693.0,2237.3333333333335,375872.0,0.38547892284138324
2024-01-13,42843.98,48673245.39783318,73197634206448.0,578549187.0919114,5.683333333333334,1.7330992641509446,715186.0,4103.666666666667,652483.0,1.7267710938855676
2024-01-14,42837.18,43605321.901035935,73197634206448.0,465750288.9796519,12.7,1.7433228750000005,616604.0,4623.484375,591806.0,1.6113173450132066
2024-01-15,41716.15,35351902.51078625,73197634206448.0,414808851.1225025,12.558333333333334,1.7309833771929821,568802.0,3583.3245614035086,408499.0,0.707530373630753
2024-01-16,42497.78,38834220.32375118,73197634206448.0,454834266.5816914,9.233333333333333,1.7053197200000003,569684.0,3760.976,470122.0,0.33975570863926624
2024-01-17,43132.4,36774948.19774859,73197634206448.0,440279570.0510773,11.0,1.7185003966942147,647470.0,3714.1735537190084,449415.0,0.359747407539995
2024-01-18,42742.78,42582217.75309462,73197634206448.0,516691726.83680135,10.229166666666668,1.7471369366197178,678147.0,3408.5704225352115,484017.0,0.4601059675829604
2024-01-19,41262.64,38173782.20108948,73197634206448.0,480304985.51026607,10.075,1.6686307272727272,627719.0,3490.628787878788,460763.0,0.42557578131964696
2024-01-20,41620.04,40838677.04548536,72219650984228.06,513378340.1866717,9.4,1.6923209300699298,656529.0,3939.377622377622,563331.0,1.4110110710935846
2024-01-21,41659.4,40129996.80070496,70343519904867.086,489551347.763542,11.241666666666667,1.6910784571428572,621585.0,4287.157142857143,600202.0,1.8036615405408476
